	ios_all_ratings	ios_current_ratings	ios_file_size	android_avg_rating	android_file_size	android_ratings_1	android_ratings_2	android_ratings_3	android_ratings_4	android_ratings_5	android_total_ratings
21-07-16 0:00	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 0:10	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 0:20	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 0:30	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 0:40	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 0:50	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 1:00	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 1:10	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 1:20	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 1:30	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 1:40	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 1:50	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 2:00	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 2:10	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 2:20	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 2:30	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 2:40	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 2:50	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 3:00	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 3:10	106508	4688	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 3:20	107460	5668	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 3:30	106508	5668	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 3:40	107460	5668	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 3:50	107460	5668	110	3.9	58	199974	71521	117754	165956	726597	1281802
21-07-16 4:00	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 4:10	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 4:20	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 4:30	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 4:40	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 4:50	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 5:00	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 5:10	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 5:20	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 5:30	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 5:40	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 5:50	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 6:00	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 6:10	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 6:20	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 6:30	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 6:40	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 6:50	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 7:00	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 7:10	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 7:20	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 7:30	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 7:40	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 7:50	107460	5668	110	3.9	58	201095	71943	118795	167748	732956	1292537
21-07-16 8:00	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 8:10	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 8:20	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 8:30	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 8:40	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 8:50	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 9:00	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 9:10	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 9:20	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 9:30	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 9:40	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 9:50	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 10:00	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 10:10	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 10:20	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 10:30	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 10:40	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 10:50	107460	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 11:00	107972	5668	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 11:10	107460	6203	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 11:20	107972	6203	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 11:30	107972	6203	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 11:40	107972	6203	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 11:50	107972	6203	110	3.9	58	202746	72566	119998	169779	740436	1305525
21-07-16 12:00	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 12:10	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 12:20	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 12:30	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 12:40	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 12:50	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 13:00	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 13:10	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 13:20	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 13:30	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 13:40	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 13:50	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 14:00	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 14:10	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 14:20	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 14:30	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 14:40	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 14:50	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 15:00	107972	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 15:10	108570	6203	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 15:20	108570	6842	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 15:30	108570	6842	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 15:40	108570	6842	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 15:50	108570	6842	110	3.9	58	204585	73093	121282	171872	748562	1319394
21-07-16 16:00	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 16:10	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 16:20	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 16:30	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 16:40	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 16:50	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 17:00	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 17:10	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 17:20	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 17:30	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 17:40	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 17:50	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 18:00	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 18:10	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 18:20	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 18:30	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 18:40	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 18:50	108570	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 19:00	108886	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 19:10	108886	6842	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 19:20	108886	7231	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 19:30	108886	7231	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 19:40	108886	7231	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 19:50	108886	7231	110	3.9	58	206305	73640	122554	174065	757714	1334278
21-07-16 20:00	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 20:10	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 20:20	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 20:30	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 20:40	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 20:50	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 21:00	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 21:10	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 21:20	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 21:30	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 21:40	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 21:50	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 22:00	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 22:10	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 22:20	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 22:30	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 22:40	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 22:50	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
21-07-16 23:00	108886	7231	110	3.9	58	207257	73972	123459	175799	764122	1344609
